arch/x86/kernel/i8253;5136;21785;7415;76;0;0;870;6882;1639;166;0;0;1;1
arch/x86/kernel/i8259;4654;17470;6725;165;0;0;1275;10626;2557;82;0;0;1;0
arch/x86/kernel/io_delay;4244;15681;6808;84;0;0;935;6482;1510;130;0;0;0;0
arch/x86/kernel/ioport;4768;17778;7278;104;0;0;940;8844;1866;69;0;0;0;0
arch/x86/kernel/irq;5194;21744;9109;105;0;0;938;8338;1985;76;0;0;0;0
arch/x86/kernel/irqinit;4530;17690;6209;195;0;0;1942;9663;2502;248;0;0;1;0
arch/x86/kernel/k8;4588;17097;7950;99;0;0;1288;7627;1970;71;0;0;1;1
arch/x86/kernel/kdebugfs;5527;19103;7844;166;0;0;962;8398;1858;245;0;0;0;0
arch/x86/kernel/kgdb;5041;19758;9072;221;0;0;1276;10777;2329;148;0;0;0;0
arch/x86/kernel/kprobes;5472;20619;11615;116;0;0;1018;8928;2034;100;0;0;0;0
arch/x86/kernel/kvm;5985;25763;11727;104;0;0;951;8587;1802;101;0;0;0;0
arch/x86/kernel/kvmclock;3942;12575;6902;87;0;0;978;6499;1551;101;0;0;0;0
arch/x86/kernel/ldt;5002;19494;7591;94;0;0;1011;10786;2258;147;0;0;0;0
arch/x86/kernel/mca_32;6055;25646;8618;128;0;0;1084;9700;0;0;0;0;0;1
arch/x86/kernel/microcode_amd;5048;19569;9518;131;0;0;927;8271;1740;145;0;0;0;0
arch/x86/kernel/microcode_core;4747;18961;8791;95;0;0;1606;8845;2360;113;0;0;0;0
arch/x86/kernel/microcode_intel;4710;16175;7478;93;0;0;1030;6449;1620;77;0;0;0;0
arch/x86/kernel/module;4971;18687;8345;98;0;0;1018;8149;1695;103;0;0;0;0
arch/x86/kernel/mpparse;7809;38384;13414;129;0;0;938;10834;2409;118;0;0;0;0
arch/x86/kernel/msr;4930;18804;8065;80;0;0;1464;8777;2490;89;0;0;0;0
arch/x86/kernel/olpc;4265;15281;6544;88;0;0;922;6573;1658;95;0;0;0;4
arch/x86/kernel/paravirt-spinlocks;4224;13825;6493;82;0;0;1274;6448;1592;93;0;0;1;1
arch/x86/kernel/paravirt;5758;25414;28891;98;0;0;1018;9677;2263;111;0;0;104;6
arch/x86/kernel/pci-dma;5469;20464;8802;98;0;0;1319;11584;2871;161;0;0;2;2
arch/x86/kernel/pci-nommu;5193;18565;8160;135;0;0;988;7952;1904;104;0;0;0;0
arch/x86/kernel/pcspeaker;4469;15937;8069;90;0;0;1008;6730;1561;134;0;0;0;0
